Short_Notations,Long_Notations
#,number
%,Percentage
&,and
/,per
2Day,Today
2M2H,too much to handle
2MORO,Tommorow
2NB,Tonight
2nite,tonight
4,For
404,No clue
5N,Fine
=,equal
@,at
AAK,Alive and kicking
AAMOF,As a matter of fact
AF,As fuck
AFAIK,As fas as I know
AFK,Away from keyboard
AIR,All India Rank
AMA,As me anything
AML,All my love
ANY1,Anyone
API,Application programming interface
ASAP,As soon as possible
ASIC,As soon as  i can
ASL,Age/Sex/Location
ATB,ALL the best
ATM,At the moment
Aug,August
B2B,business to business
B2C,business to consumer
B4,before
BAE,Before anyone else
BAU,Business as usual
BB,Bye Bye
BBI,Be back tommorow
BBIAB,Be back in a bit
BD,big deal
BDS,Bachelor of Dental Surgery
BE,Bachelor of Engineering
BEd,Bachelor of Education
BF,Boyfriend
BFF,Best friend forever
BFN,Bye for now
BG,Big grin
BMS,Blew my sh*t
BOT,Back on topic
BP,Blood Pressure
BPharm,Bachelor of Pharmacy
BRB,Be right back
BS,Bachelor of Surgery
BSc,Bachelor of Science
BTAIM,Be that as it may
BTS,Behind the scenes
BTW,By the way
Bcom,Bachelor of Commerce
Biol,Biology
Bkgd,Background
Bros,Brothers
Btec,Bachelor of Technology
C,see
C19,nineteenth century
CBI,Central Bureau of Investigation
CFY,Calling for you
CG,good game
CIA,Criminal Investigation Agency
CID,Crime Investigation Department
CJ,good job
CM,Chief Minister
CMS,content management system
COD,Cash on delivery
CPC,cost per click
CR,class representative
CRO,Coversation rate optimization
CSK,Chennai Super Kings
CTA,Call to action
CTN,cant talk now
CTR,Click through rate
CU,See you
CUL,Se you later
CX,Customer experience
CXX,One hundred twenty
CYE,check you email
Cap.,Captain
Capt.,Captain
Corp,Corporation
Cp,Compare
Ct,constrat
DAE,Does anyone else
DC,Delhi Captials
DFTBA,Don't forget to be awesome
DIKU,Do i know you
DIY,Do it yourself
DND,Do not disturb
DYK,Did you know
Dec,December
Dl,download
ELI5,Explain like I'm five
EOM,End of message
ESP,Email service provider
ESRO,European Space Research Organization
ETA,Estimated time of america
Econ,Economics
Eng,English
Eng.,Engineering
Excl,Excluding
FB,FaceBook
FBF,Flashback friday
FBI,Federal Bureau of Investigation
FBO,Facebook friday
FF,Follow friday
FML,Fuck my life
FOMO,Fear of missing out
FTFY,Fixed that for you
FTL,For the loss
FTW,For thw win
FUTAB,"Feet up, take a break"
FWIW,For what it's worth
FYI,For your information
Fab,Fabulous
Feb,February
Fig,Figure
G2G,Got to go
GA,Google Analysis
GAL,Get a life
GF,Girlfriend
GG,Good game
GM,Good morning
GMV,got my vote
GN,Good night
GOI,Goverment of India
GTG,Got to go
GTH,Go to hell
GTR,Got to run
Gd eve,Good evening
Gov,Governor
Gr8,great
H/T,Hat tip
HBD,Happy Birthday
HF,Have fun
HIFW,How I feel when
HMB,Hit me back
HMU,Hit me up
HT,Hat tip
HTH,Happy to help
Hms,Housemates
Hon.,Honourable
Hv,have
IAC,In any case
IANAD,I am not doctor
IC,I see
ICYMI,In case you missied it
IDC,I don't care
IDGI,I dont get it
IDK,I don't know
IG,Instagram
IIRC,If I remember correctly
IIT,Indian Institute of Technology
IKR,"I know, right"
ILY,I love you
IM,Instant Message
IMHO,In my humble opinion
IMO,In my opinion
IMSI,International mobile subscriber identity
IPS,Indiand Police Services
IRL,In real life
IS,I'm soory
ISO,In search of
ISP,Internet service provider
ISRO,Indian Space Research Organization
Imp,important
J/K,Just watching
JIC,Just in case
JJ,Just joking
JK,Just kidding
JOOC,Just out of curosity
JTM,Just the messenger
Jan,January
Jr,Junior
K,Ok
KK,Okay cool
KKR,Kolkata Knight Riders
KU,kiss you
Kg,Kilogram
L8,late
L8R,Later
LAM,Leave a message
LI,Linkedin
LMAO,Laughing my ass off
LMFAO,Laughing my freaking ass off
LMK,Let me know
LML,love my life
LNG,Long
LOL,Laughing out loud
LTNS,Long time no see
LU,Love you
M/F,Male/Female
MCM,Man crush monday
MFM,My face when
MI,Mumbai Indians
MMB,Message me back
MT,Modified tweet
MTFBWY,May the force be with you
MYOB,Mind your own business
Maj,Major
Max,Maximum
Min,minimum
Mr.,Mister
N,and
N/A,Not available
NASA,National Aeronautics and Space Administration
NBD,No big deal
NC,No comment
NCC,National Cadet Corps
NCERT,National Council of Educational Research and Traning
NER,North Eastern Railway
NM,Not much
NOC,No Objection Certificate
NP,No problem
NSFW,Not safe for work
NTN,No thanks needed
NVM,nevermind
NWS,Not work safe
NYT,Name your trade
Nec,Necessary
Nov,Novemeber
Nyc,nice
O3,Out of office
OC,Original content
OH,Overheard
OMG,Oh my god
OMW,On my way
OOTD,Outfit of the day
OP,Original poster
ORLY,Oh really
OS,Operating System
OT,Off topic
OTP,One time password
Obv,Obviously
Oct,Octomber
Oxf,Oxford
PC,personal Computer
PG,Post Graduation
PK,Punjab Kings
PLZ,please
PM ,Prime Minister
POS,Parent Over Shoulder
POTD,Photo of the day
PPL,people
PSA,Public service announcement
PV,Page views
Pls,please
Prof.,Professor
Prox,Proximo
Q4U,Question for you
QOTD,Quote of the day
RCB,Royal Challengers Banglore
RE,Regarding
RIP,Rest in peace
RL,Real life
RN,right now
ROFL,Rolling on the floor laughing
ROFLLMAO,Rolling on the floor laughing my ass off
ROI,Return on investment
RR,Rajasthan Royals
RSS,Really simple syndiction
RT,Right
SD,Sweet dreams
SEM,Search engine marketing
SEO,Search engine optimization
SFW,Safe for work
SMB,Small and medium business
SMH,Shaking my head
SMP,Social media platform
SOV,Share of voice
SRH,Sunrisers Hyderabad
SRP,Social relationship platform
SRSLY,Seriously
STAT,imediately
STFU,shut the fuk up
STR8,Straight
SU,Shut up
SaaS,Software as a service
Sept,September
SoLoMo,"Social, media and mobile"
Sry,sorry
St,street
TB,Tuberculosis
TBA,To be continued
TBBH,To be brutally honest
TBH,To be honest
TBT,Throwback thrusday
TC,Take care
TFW,That feeling when
TGIF,Thank god it's friday
THX,Thanks
TIA,Thank in advance
TIL,Today I learned
TL;DR,Too long; didn't read
TLC,Tender loving care
TMI,Too much information
TOS,Terms of service
TP,Time pass
TV,Television
TW,Twitter
TY,Thank You
TYT,Take your time
Thx,thanks
Tq,Thank you
Tv,Television
U,you
UGC,User-generated content
UI,User interface
URL,Uniform resource locator
UV,Unique views
UX,User experience
Ur,your
Urs,your's
VIP,Very Important Person
WB,Wait
WBU,What about you
WBW,Way back wednesday
WCW,Women crush wednesday
WD,Well done
WFH,Work from home
WHO,World Health Organization
WTF,What the fuck
Wrt,with respect to
XOX,hugs and kisses
XOXO,hugs and kisses
YCM,You copied me
YOLO,You only live once
YSK,You should know
YT,Youtube
YW,You're welcome
Yrs,years
ZZZ,Sleeping
abt,about
am,am
any1,anyone
approx,approximately
asl,as hell
asso,association
aug,august
b/4,before
bbye,Bye
bcoz,because
bf,best friend
bff,Best friend forever
bk,Book
bkgd,Background
bt,but
btwn,Between
c,see
c.f,Compare
capt.,Captain
cm,centimeter
col,column
cont,Continue
cp,Compare
cr,crore
ct,contrast
dec,december
def,definition
diff,Difficulty
dist.,distinguished
dm,Direct message
dnd,do not disturb
ea,each
econ.,"econmics,economy"
eg,example
eg.,example
est.,established
etc,and the rest
ex,example
ex.,eaxmple
f,frequently
feb,february
fig,figure
fr,from
g,gram
gm,Good morning
gn,good night
gov,goverment
govt,government
gr8,great
gud,good
hms,housemates
hv,have
i.e,that is
i/c,in-charge
idk,I don't know
imp,important
info,informataion
jan,january
jr,junior
kg,kilogram
km,kilometer
kph,kilometers per hour
lit,literally
lol,Lots of love
luv,love
lyf,life
lyk,like
max,Maximum
min,minimum
misc,miscellaneous
mkt,market
mob,mobile
mpt,important
msg,message
ne1,Anyone
noob,Newable
nov,november
np,no problem
nxt,next
nyc,nice
oct,octomber
omg,oh my god
p./pp,Page/pages
pis,please
pls,please
plz,Please
pm,pm
ppl,people
problm,problem
q,every
qt,Cutie
r,are
re,regarding
ri8,right
rpm,revolution per minute
ryt,right
s,yes
s/t,similar
sch,school
sec,second
sem,semester
sept,september
sry,Sorry
st,street
std,standard
sub,subject
temp,temperature
thnx,thanks
tho,Through
tp,Time pass
tq,thank you
trans,translation
ttyl,talk to you later
tv,television
txt,Text
ty,thank you
u,you
v,very
viz,"Namely,that is to say"
vs,Against
vv,Extremely
w,with
w/e,Whatever
w/o,without
wrt,with respect to
xoxo,hugs and kisses
yrs,years
yw,Youre Welcome
